Pollutant,R2_Model,RMSE_Model,MAE_Model,sMAPE,Improvement
PM2.5,0.9979607707288376,0.6349220738931055,0.38407145743666377,1.0878108077350033,82.60482892733111
PM10,0.997481909516141,1.1985349386701727,0.6967766207551372,1.459746375919544,80.6544876495152
O3,0.9982297600280996,0.8325891945707758,0.551427125283454,3.3534658876584995,84.00585228817084
NO2,0.9983251300247724,0.5661321509435913,0.37835540098320714,1.6499119943142768,85.11223645276009
SO2,0.8693666918321571,0.29479070140083924,0.2117757009345794,15.137110157991545,28.12639695399419
CO,0.9812821545667586,0.030488035216318342,0.02371161922596764,10.0704570889572,57.0834851837407
