污染物,模型 R2,基准 R2,模型 RMSE,基准 RMSE,模型 MAE,模型 sMAPE(%),误差降低率(%)
PM2.5,0.9977856242958623,0.9326079530013943,0.6616267441180725,3.6499903981438164,0.42442522354440493,1.1832943487789067,81.87319220197018
PM10,0.997609136430201,0.9327161460449556,1.1678644271802239,6.195415851264018,0.6808397640395133,1.414812332148611,81.14953934945383
O3,0.9981449380373215,0.9307993876150696,0.8523027879832743,5.205586503086995,0.5845393965746222,3.6038139345730404,83.62715157114678
NO2,0.9980811443952026,0.924434741547008,0.6059662248837101,3.8026675339597826,0.4126059421652266,1.791890148648699,84.06470669675645
SO2,0.8698422567536517,0.7471196454948301,0.2942536257409282,0.41015155621479793,0.2090841121495327,15.180484504616432,28.257342613415204
CO,0.9816194588213878,0.8983735011278642,0.030212082097400235,0.07104033341674726,0.024214707097026198,10.258677449676012,57.47193088162231
