污染物,R2,RMSE,MAE,sMAPE(%)
PM2.5,-1.3242989888500731,24.60775434682956,20.916481392861694,64.28044050349999
PM10,-1.2969928391790786,37.93719193162432,33.280762180826386,70.56981328984452
O3,-1.5059195439265158,33.177102138175094,29.667052180417294,119.22926472574619
NO2,-3.225448814148982,28.331703214520136,25.523044129239437,91.37198180243281
SO2,-1.0871918178092073,1.1542973858723193,0.9654571143647062,71.04520500965258
CO,-4.947879048803228,0.5410342531769963,0.4732288669047734,133.67310388726682
