污染物,模型 R2,基准 R2,模型 RMSE,基准 RMSE,模型 MAE,模型 sMAPE(%),误差降低率(%)
PM2.5,0.966900775678835,0.9326258018604698,2.5502686558027503,3.638512152732102,2.1085918373391133,5.736219762351017,29.909024657570722
PM10,0.9703591154989966,0.9328477888754092,4.106825251472961,6.18145629210892,3.3730229633272986,6.7328113261694185,33.56217277285252
O3,0.9634344924467909,0.9312263129058347,3.7802071431293074,5.184309843934834,3.0671660198079285,16.198068817717377,27.083695671627297
NO2,0.9585935072461345,0.9251715723228621,2.8218399674856918,3.793424695705164,2.3128576990762992,9.846462124664978,25.61233729825928
SO2,0.7751800105463852,0.7488627621500485,0.387633136758274,0.40969342167478523,0.22550524294736352,15.745883211843406,5.384583629957013
CO,0.9188150333952033,0.899163529248497,0.06367201700407452,0.07096098218674683,0.052795386149316816,21.02489485756355,10.271792974186953
