污染物,R2,RMSE,MAE,sMAPE(%)
PM2.5,0.8567323176319824,5.307115384406624,3.414854682271173,8.345270962302289
PM10,0.9201354138683187,6.770975616597245,3.8724155613284554,6.5088585022616385
O3,0.9927681440658429,1.6865319212294974,1.2531383632985562,9.496186783765033
NO2,0.994483624980332,1.0292100699790174,0.5003394255874675,2.1084970359898945
SO2,0.9900394558799409,0.08138808811938307,0.035039164490861606,2.558358154363087
CO,0.9908120291724167,0.02138928015345615,0.009767624020888137,3.441177655440314
