污染物,本文 R2,基准 R2,本文 RMSE,基准 RMSE,误差降低率(%)
PM2.5,0.9964244617814058,0.9326079530013943,0.8407330305496385,3.6499903981438164,76.96615774723163
PM10,0.9949474284416241,0.9327161460449556,1.6977403451593243,6.195415851264018,72.59682988329276
O3,0.9960213974125689,0.9307993876150696,1.2481879316487354,5.205586503086995,76.02214599817829
NO2,0.9958830135315035,0.924434741547008,0.8875993807920333,3.8026675339597826,76.65850688062228
SO2,0.8268963728869194,0.7471196454948301,0.33934378675242693,0.41015155621479793,17.26380611982579
CO,0.9690675763827065,0.8983735011278642,0.03919299784818269,0.07104033341674726,44.829935385771684
