污染物,本文 R2,基准 R2,本文 RMSE,基准 RMSE,误差降低率(%)
PM2.5,0.9880917465784246,0.9318805825298138,1.527433169882702,3.6532016578531734,58.18919093614154
PM10,0.9867091154500947,0.932177145461403,2.745197674540128,6.201328130992207,55.73210098623021
O3,0.9839017069879291,0.9304019563828081,2.5032835505052735,5.204974995701934,51.90594474378095
NO2,0.9839676236702197,0.9243032410587121,1.7519469195948936,3.8068050522560717,53.97854905765095
SO2,0.7910913216922643,0.7453946383106186,0.37283463619112756,0.4115966043420212,9.417465484891109
CO,0.9578145753112939,0.8982433828966476,0.045795694284100574,0.07112540705972631,35.612749118406526
