datetime,temperature,humidity,wind_speed,PM2.5,PM10,O3,NO2,SO2,CO,O3_8h,AQI,Primary
2026-03-01 00:00:00,13.2,54,1.5,73.91879040404041,106.58055952380953,37.83262105949606,71.92055079081995,3.0,0.9492173160173161,44.72907763243701,99,PM2.5
2026-03-01 01:00:00,12.8,56,0.5,74.93002849927849,108.79019047619047,36.8218035991786,72.92436031462947,3.0,1.0925,41.70680308233433,100,PM2.5
2026-03-01 02:00:00,12.4,58,1.0,76.97548881673882,111.01490674603174,34.04017173104673,74.91097051080584,3.0,1.1019952380952382,39.46182454871517,102,PM2.5
2026-03-01 03:00:00,12.0,60,0.7,77.97763167388167,112.02301424963925,33.04017173104673,75.91097051080584,3.987345238095238,1.2985,37.84184601509602,104,PM2.5
2026-03-01 04:00:00,11.7,61,4.5,77.58254387060308,113.01574007936507,32.04017173104673,76.91097051080584,3.987345238095238,1.262770292207792,36.471867481476856,103,PM2.5
2026-03-01 05:00:00,11.9,60,2.4,78.7084624867092,112.59866666666667,31.04017173104673,76.54091768933681,3.0,1.262770292207792,35.2268889478577,105,PM2.5
2026-03-01 06:00:00,12.3,58,0.7,79.29089739427239,114.385,31.010119047619046,76.69,3.0,1.104,34.22815382881008,105,PM2.5
2026-03-01 07:00:00,13.0,55,0.3,75.64648826173826,111.45,35.25476190476191,72.305,3.0,0.9495000000000001,33.884999066905316,101,PM2.5
2026-03-01 08:00:00,13.8,52,2.2,71.77991391941391,106.65,41.251666666666665,67.455,3.0,0.8630000000000001,34.312379767801644,96,PM2.5
2026-03-01 09:00:00,14.7,49,0.4,65.77943321955821,99.675,47.25476190476191,60.92436031462947,2.0,0.7865000000000001,35.61649955599956,88,PM2.5
2026-03-01 10:00:00,15.6,46,0.6,59.17710515873016,90.655,57.0,53.0,2.976168650793651,0.5999999999999999,38.486478089618714,80,PM2.5
2026-03-01 11:00:00,16.3,43,1.5,53.18361111111111,82.655,64.0,48.0,2.992404761904762,0.4999999999999999,42.356456623237875,73,PM2.5
2026-03-01 12:00:00,16.8,41,2.2,49.09175,75.465,70.0,44.0,2.9845,0.3999999999999999,47.10143515685703,68,PM2.5
2026-03-01 13:00:00,17.0,40,2.2,46.09075,71.465,74.0,42.0,2.967073412698413,0.3999999999999999,52.47141369047619,64,PM2.5
2026-03-01 14:00:00,17.1,39,4.7,45.10775,69.465,77.0,41.0,2.9656150793650795,0.29999999999999993,58.220148809523806,63,PM2.5
2026-03-01 15:00:00,16.9,40,4.0,46.63857341269841,70.51,73.25,43.455,2.9656150793650795,0.3755,62.96955357142857,65,PM2.5
