pred_time,PM2.5,PM10,O3,NO2,SO2,CO
2026-03-01 01:00:00,74.98,76.0,76.99333333333334,76.16666666666667,76.90666666666667,76.51333333333334
2026-03-01 02:00:00,74.08,70.4932795606957,65.66829187096428,58.969507372160706,59.71333333333333,57.18666666666667
2026-03-01 03:00:00,52.22677926037927,44.14,45.97952380952381,57.46,56.233333333333334,58.62
2026-03-01 04:00:00,65.06,68.18666666666667,69.98,71.99333333333334,72.95333333333333,73.17333333333333
2026-03-01 05:00:00,108.84666666666666,109.99333333333334,110.95367965367964,111.75333333333333,111.78,110.79333333333334
2026-03-01 06:00:00,107.76,103.79333333333334,97.03640971440225,88.55223723723724,91.0,86.22
2026-03-01 07:00:00,73.31300386309393,66.18,67.2373645320197,76.48666666666666,87.48,86.12666666666667
2026-03-01 08:00:00,94.97333333333333,99.49333333333334,102.12666666666667,103.94,106.29333333333334,106.64666666666666
2026-03-01 09:00:00,37.292521367521374,35.12183932486144,33.99350479580041,35.42519655808149,32.21644515975534,32.9281939944706
2026-03-01 10:00:00,34.91890494911365,40.99333333333333,47.17333333333333,53.68666666666667,60.906666666666666,67.02
2026-03-01 11:00:00,71.0,73.96666666666667,72.95333333333333,68.88,59.78666666666667,52.046814814814816
2026-03-01 12:00:00,46.66,43.34,40.97323502744865,38.986666666666665,37.96666666666667,61.906666666666666
2026-03-01 13:00:00,72.84666666666666,74.0,74.20042735042736,75.36,75.82666666666667,74.88666666666667
2026-03-01 14:00:00,72.29333333333334,66.92064752091592,61.524410241127626,56.23025414680625,56.41149999999999,51.373333333333335
2026-03-01 15:00:00,46.3288489828889,42.50666666666667,44.3331469979296,56.74666666666667,54.13333333333333,57.833333333333336
2026-03-01 16:00:00,64.16,67.0,68.98,69.93333333333334,70.96,71.46666666666667
2026-03-01 17:00:00,3.0,2.8333333333333335,3.0,3.0,3.0,3.0
2026-03-01 18:00:00,3.0,3.0,3.0,2.5866666666666664,2.0,2.0733333333333333
2026-03-01 19:00:00,2.0,2.0,2.1933333333333334,2.1333333333333333,3.0,3.0
2026-03-01 20:00:00,2.9466666666666668,3.0,3.0,3.0,2.0,2.933333333333333
2026-03-01 21:00:00,0.0009233333333333342,0.0010999999999999983,0.0012000000000000047,0.0012000000000000047,0.0012000000000000047,0.0010986666666666651
2026-03-01 22:00:00,0.0010000000000000007,0.0009026666666666664,0.000799999999999998,0.000700000000000002,0.0007813333333333318,0.00062
2026-03-01 23:00:00,0.0006153333333333337,0.00042066666666666587,0.0004066666666666658,0.0004940000000000003,0.0006006666666666688,0.0007000000000000022
2026-03-02 00:00:00,0.0007866666666666655,0.000799999999999998,0.0008999999999999997,0.0008999999999999997,0.0010000000000000007,0.0004666666666666656
2026-03-01 02:00:00,75.50666666666666,76.83333333333333,76.98666666666666,76.1,75.45333333333333,73.58
2026-03-01 03:00:00,70.99989247311828,67.78476190476191,59.84917082195197,61.61296852764094,64.34,65.67333333333333
2026-03-01 04:00:00,51.8683713673075,45.14666666666667,48.83956989247312,59.58761904761904,60.193333333333335,64.94
2026-03-01 05:00:00,68.01333333333334,70.37997485857952,72.00666666666666,72.96666666666667,71.69333333333333,73.65333333333334
2026-03-01 06:00:00,109.56666666666666,110.71333333333334,111.92666666666666,111.71333333333334,110.6,108.24
2026-03-01 07:00:00,103.88666666666667,101.62,92.09825201525874,92.09688034188034,98.46636949817774,99.89333333333333
2026-03-01 08:00:00,72.26213109354693,67.12,71.40488888888889,81.30666666666667,87.65987052603971,95.39977777777779
2026-03-01 09:00:00,98.84666666666666,102.14,103.95333333333333,106.38,104.9,108.16
2026-03-01 10:00:00,36.06639957264958,34.169113605761446,32.91294753695047,35.665424621133205,33.2430795521237,35.42205246286967
2026-03-01 11:00:00,40.98262027069338,47.053333333333335,50.526666666666664,54.57333333333333,64.80666666666667,71.02666666666667
2026-03-01 12:00:00,73.95333333333333,72.99333333333334,68.73333333333333,62.720256410256404,50.246206896551726,46.166666666666664
2026-03-01 13:00:00,43.626666666666665,42.02,39.02,38.053333333333335,72.96,62.72666666666667
2026-03-01 14:00:00,73.60666666666667,74.7,75.22666666666667,75.06666666666666,74.80666666666667,72.78
2026-03-01 15:00:00,68.66666666666667,65.30592024797909,55.7875,60.657226526946395,59.76524590163934,54.026666666666664
2026-03-01 16:00:00,46.64936949955385,43.60666666666667,46.49333333333333,57.63866666666666,58.586666666666666,64.04
2026-03-01 17:00:00,66.97333333333333,69.54019607843138,69.98666666666666,70.96,69.94,71.67333333333333
2026-03-01 18:00:00,3.0,2.8333333333333335,3.0,3.0,3.0,3.0
2026-03-01 19:00:00,3.0,3.0,3.0,2.64,2.0,2.16
2026-03-01 20:00:00,2.0,2.0,2.466666666666667,3.0,3.0,3.0
2026-03-01 21:00:00,2.92,3.0,3.0,2.0,2.0,2.7933333333333334
2026-03-01 22:00:00,0.0009193333333333341,0.0012000000000000047,0.0012000000000000047,0.0012000000000000047,0.0011339999999999998,0.0010060000000000008
2026-03-01 23:00:00,0.0008999999999999997,0.000799999999999998,0.000700000000000002,0.000799999999999998,0.0008999999999999997,0.0006306666666666669
2026-03-02 00:00:00,0.0006013333333333331,0.00042999999999999934,0.000496666666666667,0.0005946666666666686,0.000694000000000002,0.000799999999999998
2026-03-02 01:00:00,0.0007866666666666657,0.0008999999999999997,0.0008999999999999997,0.0010000000000000007,0.00042399999999999903,0.0004666666666666656
2026-03-01 03:00:00,75.83333333333333,76.81333333333333,77.98666666666666,75.52,73.53888888888889,70.48709677419355
2026-03-01 04:00:00,70.18,66.14,62.83441186577576,66.19213410433362,71.65620833333332,67.29333333333334
2026-03-01 05:00:00,53.37789115646259,48.18,52.06666666666667,62.21555555555555,65.08666666666667,67.9
2026-03-01 06:00:00,69.68,72.1,72.84666666666666,68.68666666666667,69.03333333333333,74.06
2026-03-01 07:00:00,110.11333333333333,111.96666666666667,111.92,110.9,108.49285380116959,104.18
2026-03-01 08:00:00,101.95333333333333,104.94666666666667,94.01254904248714,99.50644444444445,106.15985815602838,103.42666666666666
2026-03-01 09:00:00,73.97274509803921,71.03333333333333,76.61333333333333,87.72,93.34666666666666,98.21333333333334
2026-03-01 10:00:00,100.88,103.93333333333334,106.82666666666667,82.4,102.41333333333333,108.24
2026-03-01 11:00:00,35.48,34.23087609278523,32.09165100645029,36.137815122437146,38.04296352857494,41.70666666666666
2026-03-01 12:00:00,45.36,53.333333333333336,46.42666666666667,55.266666666666666,66.01333333333334,73.78
2026-03-01 13:00:00,73.09333333333333,68.11333333333333,64.84666666666666,53.67333333333333,43.626666666666665,43.04666666666667
2026-03-01 14:00:00,40.99333333333333,39.66683333333333,38.04,72.38666666666667,73.17333333333333,62.1
2026-03-01 15:00:00,73.92,76.0,75.22,74.14666666666666,72.26666666666667,70.77333333333333
