位置 (米 m) 运行#1,相对强度 运行#1,位置 (米 m) 运行#2,相对强度 运行#2,位置 (米 m) 运行#3,相对强度 运行#3,位置 (米 m) 运行#4,相对强度 运行#4
0.0000,0.043533,0.0000,0.039459,0.0000,0.021667,0.0000,0.022781
0.0000,0.046280,0.0000,0.038040,0.0000,0.023895,0.0000,0.024719
0.0000,0.045364,0.0000,0.038147,0.0000,0.024811,0.0000,0.023697
0.0000,0.043640,0.0000,0.038544,0.0000,0.022980,0.0000,0.023895
0.0000,0.043030,0.0000,0.038452,0.0000,0.021149,0.0000,0.024200
0.0000,0.043640,0.0000,0.037537,0.0000,0.022171,0.0000,0.025223
0.0000,0.044647,0.0000,0.037735,0.0000,0.024002,0.0000,0.023590
0.0000,0.042419,0.0000,0.036926,0.0000,0.024918,0.0000,0.022980
0.0000,0.042618,0.0000,0.039154,0.0000,0.022476,0.0000,0.021973
0.0000,0.043335,0.0000,0.039368,0.0000,0.023193,0.0000,0.024719
0.0000,0.045258,0.0000,0.036407,0.0000,0.023499,0.0000,0.024612
0.0000,0.043732,0.0000,0.038544,0.0000,0.022980,0.0000,0.024918
0.0000,0.043945,0.0000,0.037430,0.0000,0.023804,0.0000,0.021759
0.0000,0.044144,0.0000,0.036407,0.0000,0.023895,0.0000,0.023499
0.0000,0.044861,0.0000,0.036102,0.0000,0.023697,0.0000,0.025528
0.0000,0.043640,0.0000,0.039154,0.0000,0.023697,0.0000,0.021454
0.0000,0.043640,0.0000,0.039978,0.0000,0.022369,0.0000,0.020752
0.0000,0.045563,0.0000,0.039459,0.0000,0.023804,0.0000,0.023193
0.0000,0.043121,0.0000,0.035706,0.0000,0.023285,0.0000,0.025223
0.0000,0.042923,0.0000,0.037125,0.0000,0.024506,0.0000,0.021866
0.0000,0.044556,0.0000,0.039062,0.0000,0.022278,0.0000,0.021667
0.0000,0.044952,0.0000,0.036713,0.0000,0.024719,0.0000,0.023285
0.0000,0.044144,0.0000,0.037628,0.0000,0.025223,0.0000,0.025620
0.0000,0.043228,0.0000,0.038544,0.0000,0.025116,0.0000,0.022675
0.0000,0.045059,0.0000,0.039261,0.0000,0.022064,0.0000,0.021973
0.0000,0.047089,0.0000,0.038040,0.0000,0.023087,0.0000,0.022888
0.0000,0.046280,0.0000,0.036316,0.0000,0.025116,0.0000,0.022675
0.0000,0.042725,0.0000,0.038956,0.0000,0.024719,0.0000,0.023499
0.0000,0.045471,0.0000,0.037323,0.0000,0.021866,0.0000,0.021973
-1.9725E-5,0.045563,0.0000,0.038544,0.0000,0.022476,0.0000,0.023804
-1.9725E-5,0.043945,0.0000,0.035904,0.0000,0.023193,0.0000,0.024506
-1.9725E-5,0.042923,0.0000,0.037430,0.0000,0.023193,0.0000,0.023590
-1.9725E-5,0.044952,0.0000,0.039062,0.0000,0.021149,0.0000,0.021561
-1.9725E-5,0.046997,0.0000,0.037628,0.0000,0.022278,0.0000,0.023392
-1.9725E-5,0.044449,0.0000,0.036713,0.0000,0.024109,0.0000,0.026031
-1.9725E-5,0.043732,0.0000,0.036926,0.0000,0.025024,0.0000,0.022171
-1.9725E-5,0.044342,0.0000,0.039673,0.0000,0.022369,0.0000,0.023499
-1.9725E-5,0.044144,0.0000,0.037933,0.0000,0.024307,0.0000,0.024307
-1.9725E-5,0.044861,0.0000,0.038040,0.0000,0.022369,0.0000,0.024414
-1.9725E-5,0.043640,0.0000,0.037537,0.0000,0.022583,0.0000,0.023804
-1.9725E-5,0.044250,0.0000,0.037628,0.0000,0.021255,0.0000,0.021454
-1.9725E-5,0.046783,0.0000,0.036926,0.0000,0.021973,0.0000,0.024109
-1.9725E-5,0.046280,0.0000,0.037735,0.0000,0.023895,0.0000,0.024506
-1.9725E-5,0.041901,0.0000,0.038452,0.0000,0.022278,0.0000,0.022369
-1.9725E-5,0.042725,0.0000,0.037125,0.0000,0.020950,0.0000,0.022278
-1.9725E-5,0.045776,0.0000,0.037018,0.0000,0.022278,0.0000,0.022476
-1.9725E-5,0.044449,0.0000,0.035599,0.0000,0.023590,0.0000,0.024307
-1.9725E-5,0.042923,0.0000,0.037231,0.0000,0.023285,0.0000,0.022675
-1.9725E-5,0.042725,0.0000,0.038544,0.0000,0.023590,0.0000,0.021561
-1.9725E-5,0.045975,0.0000,0.037537,0.0000,0.022583,0.0000,0.025116
-1.9725E-5,0.044952,0.0000,0.036926,0.0000,0.026031,0.0000,0.024918
-1.9725E-5,0.044342,0.0000,0.037125,0.0000,0.023193,0.0000,0.022781
-1.9725E-5,0.043640,0.0000,0.038757,0.0000,0.021561,0.0000,0.021973
-1.9725E-5,0.045975,0.0000,0.037430,0.0000,0.022171,0.0000,0.024109
-1.9725E-5,0.045364,0.0000,0.036621,0.0000,0.022369,0.0000,0.023804
-1.9725E-5,0.042007,0.0000,0.038651,0.0000,0.023392,0.0000,0.023193
-1.9725E-5,0.044144,0.0000,0.038452,0.0000,0.022980,0.0000,0.022781
-1.9725E-5,0.045364,0.0000,0.039062,0.0000,0.023392,0.0000,0.022583
-1.9725E-5,0.045471,0.0000,0.038544,0.0000,0.025528,0.0000,0.025421
-1.9725E-5,0.044952,0.0000,0.034790,0.0000,0.024109,0.0000,0.021866
-1.9725E-5,0.042816,0.0000,0.039459,0.0000,0.023193,0.0000,0.022064
-1.9725E-5,0.045868,-1.9725E-5,0.039566,0.0000,0.024109,0.0000,0.023285
-1.9725E-5,0.045868,-1.9725E-5,0.034882,0.0000,0.025528,0.0000,0.025223
-1.9725E-5,0.043533,-1.9725E-5,0.038040,0.0000,0.024506,0.0000,0.022369
-1.9725E-5,0.045059,-1.9725E-5,0.039459,0.0000,0.022583,0.0000,0.021454
-1.9725E-5,0.045776,-1.9725E-5,0.036514,0.0000,0.022781,0.0000,0.024811
-1.9725E-5,0.043533,-1.9725E-5,0.036819,0.0000,0.025223,0.0000,0.025330
-1.9725E-5,0.043427,-1.9725E-5,0.038345,0.0000,0.023285,0.0000,0.022369
-1.9725E-5,0.045776,-1.9725E-5,0.039368,0.0000,0.021362,0.0000,0.022476
-1.9725E-5,0.043945,-1.9725E-5,0.037323,0.0000,0.022675,0.0000,0.022278
-1.9725E-5,0.044647,-1.9725E-5,0.036819,0.0000,0.025116,0.0000,0.023895
-1.9725E-5,0.043427,-1.9725E-5,0.037430,0.0000,0.022980,0.0000,0.022278
-1.9725E-5,0.043533,-1.9725E-5,0.039459,0.0000,0.020950,0.0000,0.022980
-1.9725E-5,0.043640,-1.9725E-5,0.038239,0.0000,0.022369,0.0000,0.025330
-1.9725E-5,0.044861,-1.9725E-5,0.036621,0.0000,0.023590,0.0000,0.023392
-1.9725E-5,0.044037,-1.9725E-5,0.037125,0.0000,0.021973,0.0000,0.022675
-1.9725E-5,0.043945,-1.9725E-5,0.040283,0.0000,0.022278,0.0000,0.021866
-1.9725E-5,0.043640,-1.9725E-5,0.038544,0.0000,0.021973,0.0000,0.022476
-1.9725E-5,0.043121,-1.9725E-5,0.035599,0.0000,0.024811,0.0000,0.025528
-1.9725E-5,0.042114,-1.9725E-5,0.039062,0.0000,0.022781,0.0000,0.024918
-1.9725E-5,0.042618,-1.9725E-5,0.040787,0.0000,0.023285,0.0000,0.024109
-1.9725E-5,0.045059,-1.9725E-5,0.038757,0.0000,0.023392,0.0000,0.024719
-1.9725E-5,0.044250,-1.9725E-5,0.035492,0.0000,0.025528,0.0000,0.025223
-1.9725E-5,0.042114,-1.9725E-5,0.037537,0.0000,0.025726,0.0000,0.023697
-1.9725E-5,0.042114,-1.9725E-5,0.039566,0.0000,0.021667,0.0000,0.021362
-1.9725E-5,0.047195,-1.9725E-5,0.038239,0.0000,0.022171,0.0000,0.025116
-1.9725E-5,0.046585,-1.9725E-5,0.036316,0.0000,0.023392,0.0000,0.025024
-1.9725E-5,0.044037,-1.9725E-5,0.038345,0.0000,0.024200,0.0000,0.024109
-3.9450E-5,0.045166,-1.9725E-5,0.038651,0.0000,0.022888,0.0000,0.024200
-3.9450E-5,0.049332,-1.9725E-5,0.038757,0.0000,0.022675,0.0000,0.022675
-7.8900E-5,0.048309,-1.9725E-5,0.037018,0.0000,0.022781,0.0000,0.024414
-7.8900E-5,0.047607,-1.9725E-5,0.037842,0.0000,0.024811,0.0000,0.020645
-9.8625E-5,0.047302,-1.9725E-5,0.039566,0.0000,0.023392,0.0000,0.022171
-9.8625E-5,0.051971,-1.9725E-5,0.037018,0.0000,0.023499,0.0000,0.025116
-1.1835E-4,0.052689,-1.9725E-5,0.037628,0.0000,0.024414,0.0000,0.022476
-1.1835E-4,0.049728,-1.9725E-5,0.037537,0.0000,0.023193,0.0000,0.022781
-1.3808E-4,0.050354,-1.9725E-5,0.037628,0.0000,0.021973,0.0000,0.023087
-1.5780E-4,0.054214,-1.9725E-5,0.037323,0.0000,0.022476,0.0000,0.023895
-1.5780E-4,0.052277,-1.9725E-5,0.036713,0.0000,0.024811,0.0000,0.023895
-1.5780E-4,0.048920,-1.9725E-5,0.036621,0.0000,0.023193,0.0000,0.022675
-1.5780E-4,0.050049,-1.9725E-5,0.039978,0.0000,0.021667,0.0000,0.022369
-1.5780E-4,0.054932,-1.9725E-5,0.037842,0.0000,0.024506,0.0000,0.024612
-1.5780E-4,0.054626,-1.9725E-5,0.038544,0.0000,0.023087,0.0000,0.024506
-1.5780E-4,0.050858,-1.9725E-5,0.036316,0.0000,0.024612,0.0000,0.022583
-1.5780E-4,0.051254,-1.9725E-5,0.038849,0.0000,0.021667,0.0000,0.022171
-1.5780E-4,0.051773,-1.9725E-5,0.038452,0.0000,0.023087,0.0000,0.022064
-1.5780E-4,0.052689,-1.9725E-5,0.038757,0.0000,0.023590,0.0000,0.024200
-1.5780E-4,0.048920,-1.9725E-5,0.035706,0.0000,0.024506,0.0000,0.022171
-1.5780E-4,0.053101,-1.9725E-5,0.037842,0.0000,0.021454,0.0000,0.021667
-1.5780E-4,0.054214,-1.9725E-5,0.038544,0.0000,0.022888,0.0000,0.025116
-1.5780E-4,0.054214,-1.9725E-5,0.034988,0.0000,0.024109,0.0000,0.025528
-1.5780E-4,0.050446,-1.9725E-5,0.036407,0.0000,0.025620,0.0000,0.022476
-1.5780E-4,0.049942,-1.9725E-5,0.038956,0.0000,0.020645,0.0000,0.021057
-1.5780E-4,0.056152,-1.9725E-5,0.038849,0.0000,0.022476,0.0000,0.022781
-1.5780E-4,0.053909,-1.9725E-5,0.037628,0.0000,0.023193,0.0000,0.023895
-1.5780E-4,0.050049,-1.9725E-5,0.039062,0.0000,0.025223,0.0000,0.021973
-1.5780E-4,0.049942,-1.9725E-5,0.039261,0.0000,0.022476,0.0000,0.021866
-1.5780E-4,0.054520,-1.9725E-5,0.038544,0.0000,0.022980,0.0000,0.024506
-1.5780E-4,0.053711,-1.9725E-5,0.036621,0.0000,0.025330,0.0000,0.024002
-1.5780E-4,0.048004,-1.9725E-5,0.036011,0.0000,0.023087,0.0000,0.022781
-1.5780E-4,0.048721,-1.9725E-5,0.037125,0.0000,0.021866,0.0000,0.022583
-1.5780E-4,0.055939,-1.9725E-5,0.037933,0.0000,0.021561,0.0000,0.022888
-1.5780E-4,0.054626,-1.9725E-5,0.037933,0.0000,0.025116,0.0000,0.025116
-1.5780E-4,0.050446,-1.9725E-5,0.038345,0.0000,0.022583,-1.9725E-5,0.021973
-1.5780E-4,0.051254,-1.9725E-5,0.039871,0.0000,0.020645,-1.9725E-5,0.021973
-1.5780E-4,0.051880,-1.9725E-5,0.039062,0.0000,0.022888,-1.9725E-5,0.022980
-1.5780E-4,0.050858,-1.9725E-5,0.037842,0.0000,0.023499,-1.9725E-5,0.024612
