污染物,模型 R2,基准 R2,模型 RMSE,基准 RMSE,模型 MAE,模型 sMAPE(%),误差降低率(%)
PM2.5,0.9966580593955366,0.9326079530013943,0.812805739146845,3.6499903981438164,0.4837302182420735,1.3689042386421773,77.7312910313355
PM10,0.9969330905759668,0.9327161460449556,1.3227126525505901,6.195415851264018,0.7602753495760429,1.5978253722491311,78.65013932388857
O3,0.996922020278144,0.9307993876150696,1.0978615519757837,5.205586503086995,0.7537826579744243,4.569147893058929,78.9099354832595
NO2,0.9972311426670664,0.924434741547008,0.7279097897706766,3.8026675339597826,0.4894866744188013,2.1882838285445723,80.85791662641904
SO2,0.842880465554279,0.7471196454948301,0.32329717497020843,0.41015155621479793,0.2325109034267913,16.663509601548004,21.176167669860924
CO,0.9795259127429242,0.8983735011278642,0.03188627475704531,0.07104033341674726,0.024324155632488517,9.99812127207813,55.11525182463692
