污染物,模型 R2,基准 R2,模型 RMSE,基准 RMSE,模型 MAE,模型 sMAPE(%),误差降低率(%)
PM2.5,0.990865930871725,0.9318805825298138,1.3377357407352235,3.6532016578531734,1.1285904269139557,3.221867453775446,63.381825970117625
PM10,0.9926671535129002,0.932177145461403,2.039073948751791,6.201328130992207,1.7388735536529738,3.428986885966933,67.11875414943506
O3,0.9933748149458455,0.9304019563828081,1.605902367362156,5.204974995701934,1.342722090022529,7.739270522858839,69.1467803651651
NO2,0.9918001353998476,0.9243032410587121,1.2529257505973859,3.8068050522560717,1.087631126022076,4.598716126479774,67.0872100515142
SO2,0.7893951227316878,0.7453946383106186,0.37434516041286864,0.4115966043420212,0.23352001013645135,16.97614498230423,9.05047406518399
CO,0.9649521149410076,0.8982433828966476,0.041742104660900704,0.07112540705972631,0.036519271885367,15.45295338876639,41.311963774283214
