datetime,temperature,humidity,wind_speed,PM2.5,PM10,O3,NO2,SO2,CO
2026-03-01 23:00:00,8.7,75,0.3,41.26,63.0,77.02,37.0,2.0,0.4573333333333333
2026-03-02 00:00:00,8.2,77,3.8,43.60666666666666,64.45333333333333,75.04666666666667,38.0,2.0,0.47333333333333333
2026-03-02 01:00:00,7.8,79,6.9,44.633333333333326,66.45333333333333,73.58666666666667,39.0,2.0,0.5466666666666666
2026-03-02 02:00:00,7.5,81,6.0,45.65999999999999,68.38666666666667,72.12666666666668,40.0,2.0,0.5753333333333333
2026-03-02 03:00:00,7.3,82,3.5,46.65999999999999,69.47333333333334,71.12666666666668,41.0,2.0,0.6286666666666666
2026-03-02 04:00:00,7.4,81,2.7,46.319999999999986,69.61333333333334,71.34000000000002,40.72,2.0,0.6053333333333333
2026-03-02 05:00:00,7.8,79,3.9,45.33333333333332,67.33333333333334,74.29333333333335,40.08,2.0,0.5053333333333333
2026-03-02 06:00:00,8.5,76,0.8,42.33333333333332,62.933333333333344,77.61333333333334,37.78666666666666,2.0,0.4179999999999999
2026-03-02 07:00:00,9.6,71,0.4,38.52666666666666,58.54000000000001,83.24000000000001,33.379999999999995,2.0,0.3306666666666666
2026-03-02 08:00:00,11.0,65,1.3,34.71999999999999,51.54000000000001,88.86666666666667,29.026666666666664,2.0,0.24533333333333332
2026-03-02 09:00:00,12.5,59,2.0,30.913333333333327,44.54000000000001,94.48,24.93333333333333,2.0,0.176
2026-03-02 10:00:00,14.0,53,2.4,27.106666666666662,37.58000000000001,100.08666666666667,20.81333333333333,2.0,0.10733333333333332
2026-03-02 11:00:00,15.2,48,3.0,25.983333333333334,39.483333333333334,91.45,24.483333333333334,2.0,0.3
2026-03-02 12:00:00,16.0,45,4.6,23.7,35.7,95.17666666666668,22.303333333333335,2.0,0.25
2026-03-02 13:00:00,16.4,43,6.7,22.706666666666667,33.513513513513516,98.50333333333334,21.303333333333335,2.0,0.25
2026-03-02 14:00:00,16.5,43,7.2,22.333333333333332,33.42018018018018,98.67000000000002,20.663333333333334,2.0,0.22066666666666665
2026-03-02 15:00:00,16.2,44,7.0,23.386666666666667,35.34684684684685,97.21000000000002,21.663333333333334,2.0,0.24533333333333332
2026-03-02 16:00:00,15.6,47,5.7,26.226666666666667,37.34684684684685,92.65000000000002,22.7,2.0,0.25
2026-03-02 17:00:00,14.5,52,6.6,30.5,42.88684684684685,87.01000000000002,27.08,2.0,0.2586666666666667
2026-03-02 18:00:00,13.0,59,2.3,36.07333333333333,50.20684684684685,79.36333333333336,33.28666666666666,2.0,0.2773333333333334
2026-03-02 19:00:00,11.4,66,4.7,41.846666666666664,57.50018018018018,72.69000000000003,39.28666666666666,2.0,0.29600000000000004
2026-03-02 20:00:00,10.0,72,8.6,45.55333333333333,62.43351351351352,67.72333333333336,43.03333333333333,2.0,0.30533333333333335
2026-03-02 21:00:00,9.0,77,10.9,47.98,65.90018018018019,65.73000000000002,45.45333333333333,2.0,0.3226666666666667
2026-03-02 22:00:00,8.3,80,12.3,50.406666666666666,69.36684684684685,63.736666666666686,47.873333333333335,2.0,0.32866666666666666
2026-03-02 23:00:00,7.9,82,11.7,41.026666666666664,63.0,78.54,38.0,2.0,0.45866666666666667
2026-03-03 00:00:00,7.6,84,12.0,42.05333333333333,64.29333333333334,77.08000000000001,39.0,2.0,0.4766666666666667
2026-03-03 01:00:00,7.4,85,10.5,43.05333333333333,65.38666666666667,76.08000000000001,40.0,2.0,0.5306666666666667
2026-03-03 02:00:00,7.2,86,8.2,44.05333333333333,66.38666666666667,75.08000000000001,41.0,2.0,0.5413333333333333
2026-03-03 03:00:00,7.1,87,8.0,45.03999999999999,66.59333333333333,74.08000000000001,40.96666666666667,2.0,0.594
2026-03-03 04:00:00,7.3,86,8.3,44.05333333333333,66.56666666666666,74.38666666666668,40.32666666666667,2.0,0.494
2026-03-03 05:00:00,7.8,84,3.9,41.05333333333333,64.24666666666667,77.32666666666668,37.973333333333336,2.0,0.4046666666666667
2026-03-03 06:00:00,8.8,80,6.6,37.71999999999999,59.800000000000004,81.57333333333335,34.873333333333335,2.0,0.31733333333333336
2026-03-03 07:00:00,10.2,74,4.3,33.91333333333333,52.800000000000004,87.20000000000002,30.493333333333336,2.0,0.23200000000000007
2026-03-03 08:00:00,11.8,67,4.0,30.106666666666662,45.800000000000004,92.80000000000001,26.1,2.0,0.14666666666666675
2026-03-03 09:00:00,13.4,60,2.4,26.299999999999997,38.84,98.41333333333334,22.006666666666668,2.0,0.06133333333333341
2026-03-03 10:00:00,14.8,54,3.5,22.493333333333332,31.973333333333336,104.02000000000001,17.880000000000003,2.0,0.0046666666666667495
2026-03-03 11:00:00,15.9,49,5.8,25.983333333333334,39.483333333333334,91.45,24.483333333333334,2.0,0.3
2026-03-03 12:00:00,16.6,46,5.7,23.7,35.7,95.15,22.236666666666668,2.0,0.25
2026-03-03 13:00:00,16.9,45,3.0,22.706666666666667,33.513513513513516,98.42333333333335,21.236666666666668,2.0,0.25
2026-03-03 14:00:00,17.0,44,4.8,22.333333333333332,33.42018018018018,98.59000000000002,20.596666666666668,2.0,0.22066666666666665
2026-03-03 15:00:00,16.7,46,10.3,23.386666666666667,35.34684684684685,97.13000000000002,21.596666666666668,2.0,0.246
2026-03-03 16:00:00,16.0,49,10.5,26.386666666666667,39.34684684684685,92.75666666666669,24.596666666666668,2.0,0.25
