datetime,temperature,humidity,wind_speed,PM2.5,PM10,O3,NO2,SO2,CO,O3_8h,AQI,Primary
2026-03-01 00:00:00,13.2,54,1.5,73.12,105.54,38.626666666666665,71.17333333333333,3.0,0.0009533333333333334,41.20333333333333,98,PM2.5
2026-03-01 01:00:00,12.8,56,0.5,73.24000000000001,105.07333333333334,39.25333333333333,71.34666666666666,3.0,0.0009513333333333333,43.485,98,PM2.5
2026-03-01 02:00:00,12.4,58,1.0,74.24000000000001,106.07333333333334,38.25333333333333,72.34666666666666,3.0,0.000966,44.641666666666666,99,PM2.5
2026-03-01 03:00:00,12.0,60,0.7,75.24000000000001,107.07333333333334,37.25333333333333,73.34666666666666,3.0,0.0010566666666666663,44.67333333333333,100,PM2.5
2026-03-01 04:00:00,11.7,61,4.5,75.60666666666667,108.07333333333334,36.25333333333333,74.34666666666666,3.0,0.001063333333333333,43.705,101,PM2.5
2026-03-01 05:00:00,11.9,60,2.4,76.34,108.2,35.25333333333333,74.46,3.0,0.0010699999999999998,41.861666666666665,102,PM2.5
2026-03-01 06:00:00,12.3,58,0.7,78.58,111.16666666666667,33.25333333333333,75.58,3.0,0.001073333333333333,39.26833333333333,104,PM2.5
2026-03-01 07:00:00,13.0,55,0.3,80.34,114.32666666666667,33.29333333333333,75.78,3.0,0.001027333333333333,36.43,107,PM2.5
2026-03-01 08:00:00,13.8,52,2.2,82.31333333333333,117.71333333333334,33.33333333333333,76.54,3.0,0.0009926666666666662,35.76833333333333,109,PM2.5
2026-03-01 09:00:00,14.7,49,0.4,84.32666666666667,121.12,33.36666666666666,76.71333333333334,3.0,0.0009599999999999995,35.0325,112,PM2.5
2026-03-01 10:00:00,15.6,46,0.6,85.54666666666667,124.52666666666667,36.36666666666666,75.71333333333334,3.0,0.0008599999999999998,34.79666666666666,113,PM2.5
2026-03-01 11:00:00,16.3,43,1.5,86.76666666666667,127.93333333333334,39.36666666666666,74.71333333333334,3.0,0.00076,35.06083333333333,115,PM2.5
2026-03-01 12:00:00,16.8,41,2.2,87.81333333333333,131.19333333333333,42.36666666666666,73.71333333333334,3.0,0.0006600000000000003,35.824999999999996,116,PM2.5
2026-03-01 13:00:00,17.0,40,2.2,88.86,134.45333333333332,45.36666666666666,72.71333333333334,3.0,0.0005600000000000006,37.089166666666664,117,PM2.5
2026-03-01 14:00:00,17.1,39,4.7,89.96,137.7133333333333,48.36666666666666,71.71333333333334,3.0,0.0004600000000000009,38.978333333333325,119,PM2.5
2026-03-01 15:00:00,16.9,40,4.0,91.83999999999999,141.11999999999998,48.39999999999999,72.47333333333334,3.0,0.00041600000000000084,40.86666666666666,121,PM2.5
2026-03-01 16:00:00,16.4,42,3.5,94.69999999999999,144.7133333333333,44.239999999999995,75.47333333333334,3.0,0.0003720000000000008,42.22999999999999,125,PM2.5
2026-03-01 17:00:00,15.5,46,3.5,100.41999999999999,152.00666666666663,37.59333333333333,81.47333333333334,3.0,0.00036066666666666745,42.758333333333326,132,PM2.5
2026-03-01 18:00:00,14.2,51,1.8,105.59333333333332,159.7533333333333,28.659999999999993,87.56666666666668,3.0,0.0003493333333333341,41.794999999999995,138,PM2.5
2026-03-01 19:00:00,12.7,57,1.9,111.50666666666665,167.7933333333333,22.359999999999992,93.56666666666668,3.0,0.00041533333333333407,39.66916666666666,146,PM2.5
2026-03-01 20:00:00,11.3,63,2.6,114.36666666666665,171.42666666666662,18.74666666666666,96.56666666666668,3.0,0.00042333333333333405,36.71666666666666,149,PM2.5
