污染物,本文 R2,基准 R2,本文 RMSE,基准 RMSE,误差降低率(%),sMAPE(%)
PM2.5,0.9906002498347237,0.9318805825298138,1.357051529056141,3.6532016578531734,62.85309007952162,3.111734330264369
PM10,0.9906499607601501,0.932177145461403,2.302519920867817,6.201328130992207,62.87053559767985,3.7324626466605255
O3,0.9907658687576016,0.9304019563828081,1.8959119021169173,5.204974995701934,63.575004612270234,10.011068953607417
NO2,0.9885984461889205,0.9243032410587121,1.4774201406855836,3.8068050522560717,61.19002364436806,5.158240295355968
SO2,0.7994507575149572,0.7453946383106186,0.36529903383871815,0.4115966043420212,11.248287768873706,17.57166461926326
CO,0.9527807736268199,0.8982433828966476,0.04845101376405289,0.07112540705972631,31.879456628814783,15.769869048288799
