污染物,模型 R2,基准 R2,模型 RMSE,基准 RMSE,模型 MAE,模型 sMAPE(%),误差降低率(%)
PM2.5,0.9688419281205156,0.9326258018604698,2.4743567308151935,3.638512152732102,2.2122121479661683,5.967601270956234,31.995369894333386
PM10,0.9757491061205793,0.9328477888754092,3.7147066197725924,6.18145629210892,3.2960338989453253,6.345381734916007,39.90563963843461
O3,0.9758170228926245,0.9312263129058347,3.0742181179053425,5.184309843934834,2.7318000233826836,16.8810097279937,40.70149720117722
NO2,0.9697171254427028,0.9251715723228621,2.413218833822962,3.793424695705164,2.143624600892706,8.675849177840131,36.38416398366474
SO2,0.7620115915108968,0.7488627621500485,0.3988240472461485,0.40969342167478523,0.2561451978093243,17.987990404512534,2.653050757857869
CO,0.9403622482080771,0.899163529248497,0.05457219610215832,0.07096098218674683,0.04428619667112687,17.256992071305092,23.09548935139936
