污染物,纯气象 R2,基准(惯性) R2,纯气象 RMSE,纯气象 MAE,纯气象 sMAPE(%)
PM2.5,0.43212600617154373,0.9326079530013943,10.595303173941899,9.379971463512254,27.173239941906218
PM10,0.6967470076972899,0.9327161460449556,13.15278073730278,10.479348731807393,21.047601655178035
O3,0.7676602312030216,0.9307993876150696,9.538420740013175,8.319580326380553,44.645028772184766
NO2,0.9814698304102555,0.924434741547008,1.8830721823704208,1.4018785170410935,5.687810537819479
SO2,0.9525263964111822,0.7471196454948301,0.17771042987043612,0.09007788161993768,5.930536496257289
CO,0.9652503706940464,0.8983735011278642,0.04154096654056562,0.03160751963993149,11.75965976324527
